Ticket Check 1;8;3626;9.50
Ticket Check 2;56;3713;9.51
Train Station 1;33;808;120.22;18;100.06;1800.50;44.89
Train Station 2;7;1334;120.91;22;100.68;1504.00;60.64
Metro Station;75;5082;60.31;59;100.37;541.20;86.14
