;Queue Size;Served;Service Time;
Ticket Check 1;28;1020;9.42
Ticket Check 2;31;1063;9.40
Station;Passengers At Station;Served;Average Station Load Time;Stopped;Average Capacity;Average Train Travel Time;Average Loaded Capacity
Train Station 1;15;229;114.20;5;65.80;1792.00;45.80
Train Station 2;15;378;114.00;6;74.33;1482.17;63.00
Metro Station;77;1369;57.69;16;97.56;535.63;85.56
