;Queue Size;Served;Service Time;
Ticket Check 1;127;9029;9.53
Ticket Check 2;20;9061;9.53
Station;Passengers At Station;Served;Average Station Load Time;Stopped;Average Capacity;Average Train Travel Time;Average Loaded Capacity
Train Station 1;42;2051;120.38;45;70.09;1800.71;45.58
Train Station 2;27;3293;120.21;53;80.19;1501.87;62.13
Metro Station;80;12597;59.92;144;100.02;540.42;87.48
Ticket Check 1;13;3748;9.47
Ticket Check 2;5;3755;9.47
Train Station 1;31;855;121.00;18;70.56;1801.44;47.50
Train Station 2;22;1373;120.55;22;80.41;1502.86;62.41
Metro Station;4;5218;59.55;60;99.67;539.67;86.97
