Ticket Check 1;27;3767;9.43
Ticket Check 2;1;3720;9.43
Train Station 1;32;847;120.56;18;70.33;1801.06;47.06
Train Station 2;32;1363;118.82;22;78.91;1497.41;61.95
Metro Station;21;5192;59.05;60;99.05;538.60;86.53
