B2_PASSENGER_ARRIVAL;356
B4_TICKET_CHECK_FINISH;365
B2_PASSENGER_ARRIVAL;356
B2_PASSENGER_ARRIVAL;357
B2_PASSENGER_ARRIVAL;361
B1_PASSENGER_ARRIVAL;374
B2_PASSENGER_ARRIVAL;364
B3_TICKET_CHECK_FINISH;376
B2_PASSENGER_ARRIVAL;365
B2_PASSENGER_ARRIVAL;369
B4_TICKET_CHECK_FINISH;377
B2_PASSENGER_ARRIVAL;374
B1_PASSENGER_ARRIVAL;387
B2_PASSENGER_ARRIVAL;387
B3_TICKET_CHECK_FINISH;386
B4_TICKET_CHECK_FINISH;387
B1_PASSENGER_ARRIVAL;400
B2_PASSENGER_ARRIVAL;405
B3_TICKET_CHECK_FINISH;394
B4_TICKET_CHECK_FINISH;399
B4_TICKET_CHECK_FINISH;413
B1_PASSENGER_ARRIVAL;403
B3_TICKET_CHECK_FINISH;408
B1_PASSENGER_ARRIVAL;418
B2_PASSENGER_ARRIVAL;406
B2_PASSENGER_ARRIVAL;410
B3_TICKET_CHECK_FINISH;418
B2_PASSENGER_ARRIVAL;419
B4_TICKET_CHECK_FINISH;421
B1_PASSENGER_ARRIVAL;428
B3_TICKET_CHECK_FINISH;428
B2_PASSENGER_ARRIVAL;443
B4_TICKET_CHECK_FINISH;431
B1_PASSENGER_ARRIVAL;428
B1_PASSENGER_ARRIVAL;429
B3_TICKET_CHECK_FINISH;440
B1_PASSENGER_ARRIVAL;430
B1_PASSENGER_ARRIVAL;443
B4_TICKET_CHECK_FINISH;440
B3_TICKET_CHECK_FINISH;450
B4_TICKET_CHECK_FINISH;453
B2_PASSENGER_ARRIVAL;471
B1_PASSENGER_ARRIVAL;444
B1_PASSENGER_ARRIVAL;463
B3_TICKET_CHECK_FINISH;462
B4_TICKET_CHECK_FINISH;464
B3_TICKET_CHECK_FINISH;476
B1_PASSENGER_ARRIVAL;464
B1_PASSENGER_ARRIVAL;470
B4_TICKET_CHECK_FINISH;472
B1_PASSENGER_ARRIVAL;478
B2_PASSENGER_ARRIVAL;480
B4_TICKET_CHECK_FINISH;482
B3_TICKET_CHECK_FINISH;484
B1_PASSENGER_ARRIVAL;479
B1_PASSENGER_ARRIVAL;546
B2_PASSENGER_ARRIVAL;480
B2_PASSENGER_ARRIVAL;484
B4_TICKET_CHECK_FINISH;490
B2_PASSENGER_ARRIVAL;491
B3_TICKET_CHECK_FINISH;494
B4_TICKET_CHECK_FINISH;501
B2_PASSENGER_ARRIVAL;495
B3_TICKET_CHECK_FINISH;503
B2_PASSENGER_ARRIVAL;495
B2_PASSENGER_ARRIVAL;504
B4_TICKET_CHECK_FINISH;511
B3_TICKET_CHECK_FINISH;516
B2_PASSENGER_ARRIVAL;508
B2_PASSENGER_ARRIVAL;509
B2_PASSENGER_ARRIVAL;514
B4_TICKET_CHECK_FINISH;518
B2_PASSENGER_ARRIVAL;515
B2_PASSENGER_ARRIVAL;517
B3_TICKET_CHECK_FINISH;527
B2_PASSENGER_ARRIVAL;520
B4_TICKET_CHECK_FINISH;527
B2_PASSENGER_ARRIVAL;526
B2_PASSENGER_ARRIVAL;543
B3_TICKET_CHECK_FINISH;535
B4_TICKET_CHECK_FINISH;534
B4_TICKET_CHECK_FINISH;546
B3_TICKET_CHECK_FINISH;545
B7_TRAIN3_DEPARTURE;602
B2_PASSENGER_ARRIVAL;554
B1_PASSENGER_ARRIVAL;557
B3_TICKET_CHECK_FINISH;554
B4_TICKET_CHECK_FINISH;557
B2_PASSENGER_ARRIVAL;557
B2_PASSENGER_ARRIVAL;558
B1_PASSENGER_ARRIVAL;558
B3_TICKET_CHECK_FINISH;568
B4_TICKET_CHECK_FINISH;565
B1_PASSENGER_ARRIVAL;560
B2_PASSENGER_ARRIVAL;567
B1_PASSENGER_ARRIVAL;569
B4_TICKET_CHECK_FINISH;575
B2_PASSENGER_ARRIVAL;589
B3_TICKET_CHECK_FINISH;578
B1_PASSENGER_ARRIVAL;576
B4_TICKET_CHECK_FINISH;590
B1_PASSENGER_ARRIVAL;576
B1_PASSENGER_ARRIVAL;581
B3_TICKET_CHECK_FINISH;585
B1_PASSENGER_ARRIVAL;584
B1_PASSENGER_ARRIVAL;587
B3_TICKET_CHECK_FINISH;594
B1_PASSENGER_ARRIVAL;591
B2_PASSENGER_ARRIVAL;599
B4_TICKET_CHECK_FINISH;601
B1_PASSENGER_ARRIVAL;600
B3_TICKET_CHECK_FINISH;601
B2_PASSENGER_ARRIVAL;599
B2_PASSENGER_ARRIVAL;614
B1_PASSENGER_ARRIVAL;610
B3_TICKET_CHECK_FINISH;613
B4_TICKET_CHECK_FINISH;615
B10_TRAIN3_ARRIVAL;1146
B1_PASSENGER_ARRIVAL;614
B3_TICKET_CHECK_FINISH;624
B2_PASSENGER_ARRIVAL;621
B1_PASSENGER_ARRIVAL;630
B4_TICKET_CHECK_FINISH;625
B2_PASSENGER_ARRIVAL;623
B2_PASSENGER_ARRIVAL;632
B3_TICKET_CHECK_FINISH;632
B4_TICKET_CHECK_FINISH;635
B1_PASSENGER_ARRIVAL;634
B2_PASSENGER_ARRIVAL;636
B3_TICKET_CHECK_FINISH;642
B1_PASSENGER_ARRIVAL;650
